frame,id,timestamp(s),accX,accY,accZ,gyrX,gyrY,gyrZ,magX,magY,magZ,eulerRoll,eulerPitch,eulerYaw,quatW,quatX,quatY,quatZ,
55,1,3588.383,-0.044,-0.021,0.989,0.0,0.0,0.0,14,-11,-14,2.53,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
56,1,3588.393,-0.046,-0.018,0.984,0.0,0.0,0.0,15,-11,-14,2.53,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
57,1,3588.403,-0.044,-0.022,0.982,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
58,1,3588.413,-0.042,-0.023,0.991,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
59,1,3588.423,-0.044,-0.025,0.986,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
60,1,3588.433,-0.045,-0.017,0.989,0.0,0.0,0.0,14,-11,-13,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
61,1,3588.443,-0.042,-0.022,0.991,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
62,1,3588.453,-0.042,-0.025,0.99,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
63,1,3588.463,-0.048,-0.02,0.988,0.0,0.0,0.0,14,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
64,1,3588.473,-0.047,-0.021,0.988,0.0,0.0,0.0,14,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
65,1,3588.483,-0.045,-0.021,0.985,0.0,0.0,0.0,15,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
66,1,3588.493,-0.037,-0.024,0.992,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
67,1,3588.503,-0.047,-0.021,0.982,0.0,0.0,0.0,14,-12,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
68,1,3588.513,-0.044,-0.021,0.988,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
69,1,3588.523,-0.045,-0.023,0.986,0.0,0.0,0.0,14,-11,-14,2.54,-1.26,-0.29,1.0,-0.011,0.022,-0.003,
