Time,Speed,accX,accY,accZ,Magnitude
16.67,1500,-0.07174863,-0.24524176,0.0511511,189.060366464118
16.68,1500,-0.23274863,-0.32224176,-0.2838489,189.060366464118
16.69,1500,-0.28974863,-0.24924176,-0.0178489,189.060366464118
16.7,1500,-0.01874863,-0.19424176,-0.0888489,189.060366464118
16.71,1500,0.03425137,-0.04724176,0.0341511,189.060366464118
16.719,1500,-0.15274863,-0.01424176,0.1241511,189.060366464118
16.73,1500,-0.12674863,-0.00124176,0.2291511,189.060366464118
16.74,1500,0.06125137,-0.04224176,0.0441511,189.060366464118
16.751,1500,-0.21374863,-0.10824176,-0.0558489,189.060366464118
16.76,1500,-0.23574863,-0.06724176,-0.2628489,189.060366464118
16.77,1500,-0.12874863,-0.19524176,-0.2818489,189.060366464118
16.781,1500,-0.25374863,-0.21924176,-0.3678489,189.060366464118
16.791,1500,-0.14774863,0.07975824,-0.5828489,189.060366464118
16.801,1500,-0.27474863,-0.04824176,-0.7428489,189.060366464118
16.81,1500,-0.25374863,-0.22824176,-0.6188489,189.060366464118
16.82,1500,-0.48374863,-0.18824176,-0.2898489,189.060366464118
16.83,1500,-0.39974863,-0.03324176,0.0231511,189.060366464118
16.84,1500,-0.28874863,-0.04524176,0.1711511,189.060366464118
16.85,1500,-0.41474863,0.03675824,-0.1688489,189.060366464118
16.86,1500,-0.29874863,0.22875824,-0.0958489,189.060366464118
16.871,1500,0.00525137,0.21575824,-0.1678489,189.060366464118
16.88,1500,0.16525137,0.19575824,-0.3078489,189.060366464118
16.891,1500,-0.03574863,0.20075824,0.0401511,189.060366464118
16.9,1500,0.29525137,0.36175824,0.0191511,189.060366464118
16.91,1500,0.14825137,0.33175824,-0.0758489,189.060366464118
16.921,1500,0.21525137,0.26375824,-0.1548489,189.060366464118
16.931,1500,0.30225137,0.30475824,0.0251511,189.060366464118
16.94,1500,0.17625137,0.31375824,0.1541511,189.060366464118
16.951,1500,0.20725137,0.30075824,0.0161511,189.060366464118
16.96,1500,0.15225137,0.25175824,-0.0438489,189.060366464118
16.97,1500,0.17425137,0.15975824,-0.0438489,189.060366464118
16.981,1500,0.10725137,0.09675824,-0.0198489,189.060366464118
16.991,1500,0.04725137,0.05375824,-0.0048489,189.060366464118
17.001,1500,-0.10474863,-0.00324176,0.0001511,189.060366464118
17.01,1500,-0.03574863,0.03875824,0.0001511,189.060366464118
17.02,1500,0.08625137,0.09475824,-0.0108489,189.060366464118
17.03,1500,0.01825137,0.04575824,0.0051511,189.060366464118
17.04,1500,0.06725137,0.01175824,-0.0048489,189.060366464118
17.05,1500,0.01025137,-0.00224176,-0.0278489,197.648292381774
17.061,1500,0.04525137,0.08675824,-0.0288489,197.648292381774
17.071,1500,-0.00174863,0.17375824,0.0251511,197.648292381774
17.081,1500,0.10925137,0.22975824,0.0351511,197.648292381774
17.091,1500,0.19525137,0.27575824,-0.0068489,197.648292381774
17.101,1500,0.28025137,0.34675824,-0.0238489,197.648292381774
17.11,1500,0.18725137,0.29975824,-0.1448489,197.648292381774
17.121,1500,0.18925137,0.31475824,-0.0348489,197.648292381774
17.131,1500,0.43725137,0.41075824,0.0751511,197.648292381774
17.14,1500,0.29025137,0.31075824,-0.0298489,197.648292381774
17.15,1500,0.18225137,0.29875824,-0.0878489,197.648292381774
17.16,1500,0.18925137,0.22975824,-0.0678489,197.648292381774
17.17,1500,-0.00674863,0.14375824,0.0241511,197.648292381774
17.181,1500,-0.12274863,0.12375824,-0.0598489,197.648292381774
17.191,1500,-0.11074863,0.06075824,-0.1748489,197.648292381774
17.201,1500,0.04025137,0.04475824,0.0111511,197.648292381774
17.211,1500,0.09525137,0.06675824,0.0931511,197.648292381774
17.221,1500,-0.12274863,0.17375824,-0.0688489,197.648292381774
17.231,1500,-0.13174863,0.04575824,-0.1628489,197.648292381774
17.241,1500,-0.03974863,-0.09824176,0.0051511,197.648292381774
17.25,1500,-0.20874863,-0.06324176,-0.0158489,197.648292381774
17.26,1500,-0.13574863,0.05775824,-0.0288489,197.648292381774
17.27,1500,0.10325137,0.01375824,0.0761511,197.648292381774
17.28,1500,-0.16074863,-0.02624176,-0.0188489,197.648292381774
17.291,1500,-0.12174863,0.07075824,-0.0258489,197.648292381774
17.301,1500,-0.19574863,-0.01624176,0.0021511,197.648292381774
17.31,1500,-0.26174863,-0.13524176,-0.0778489,197.648292381774
17.321,1500,-0.23074863,-0.10124176,-0.0398489,197.648292381774
17.331,1500,-0.30774863,0.00575824,-0.1048489,197.648292381774
17.34,1500,-0.13974863,0.00275824,-0.0338489,197.648292381774
17.35,1500,-0.04174863,-0.14224176,0.1131511,197.648292381774
17.361,1500,-0.23374863,-0.10524176,0.1221511,197.648292381774
17.371,1500,-0.28374863,-0.17624176,0.0271511,197.648292381774
17.381,1500,-0.13074863,-0.45824176,-0.1138489,197.648292381774
17.39,1500,-0.07374863,-0.35224176,0.0391511,197.648292381774
17.401,1500,-0.23774863,-0.22724176,0.1251511,197.648292381774
17.41,1500,-0.18274863,-0.23424176,0.0031511,197.648292381774
17.42,1500,-0.01974863,-0.33724176,0.0031511,197.648292381774
17.431,1500,-0.10674863,-0.44424176,0.0161511,197.648292381774
17.441,1500,-0.12674863,-0.36124176,0.0231511,197.648292381774
17.451,1500,-0.07974863,-0.23924176,-0.0028489,197.648292381774
17.461,1500,-0.03874863,-0.15824176,0.0041511,197.648292381774
17.47,1500,0.00725137,-0.10924176,0.0231511,197.648292381774
17.48,1500,0.01425137,-0.06724176,0.0191511,197.648292381774
17.49,1500,-0.04074863,-0.09924176,0.0221511,197.648292381774
17.5,1500,-0.03474863,-0.09624176,0.0121511,197.648292381774
17.51,1500,0.01925137,-0.05424176,0.0061511,197.648292381774
17.52,1500,0.02925137,-0.00324176,-0.0018489,197.648292381774
17.531,1500,0.05625137,0.06675824,-0.0078489,197.648292381774
17.54,1500,0.07125137,0.09775824,-0.0038489,197.648292381774
17.55,1500,0.09025137,0.13875824,-0.0038489,197.648292381774
17.56,1500,0.09825137,0.16575824,-0.0018489,233.365394778613
17.571,1500,0.15325137,0.21775824,-0.0138489,233.365394778613
17.581,1500,0.18125137,0.26275824,-0.0348489,233.365394778613
17.591,1500,0.18525137,0.30175824,-0.0248489,233.365394778613
17.601,1500,0.19925137,0.30375824,-0.0208489,233.365394778613
17.611,1500,0.14225137,0.29775824,-0.0098489,233.365394778613
17.621,1500,0.15125137,0.27675824,0.0061511,233.365394778613
17.631,1500,0.15225137,0.24275824,0.0041511,233.365394778613
17.64,1500,0.12025137,0.19675824,0.0371511,233.365394778613
17.65,1500,-0.05474863,0.11275824,-0.0058489,233.365394778613
17.661,1500,0.04525137,0.08075824,-0.0348489,233.365394778613
17.671,1500,0.12225137,0.11675824,-0.0368489,233.365394778613
17.681,1500,0.02225137,0.01675824,-0.0448489,233.365394778613
17.691,1500,-0.05774863,-0.00824176,0.0171511,233.365394778613
17.701,1500,-0.07474863,0.03675824,0.0031511,233.365394778613
17.711,1500,0.06625137,0.06375824,0.0651511,233.365394778613
17.721,1500,-0.07774863,0.06475824,0.0141511,233.365394778613
17.73,1500,-0.04574863,-0.01624176,-0.0898489,233.365394778613
17.74,1500,-0.09874863,-0.07724176,-0.1368489,233.365394778613
17.75,1500,-0.01374863,-0.06324176,-0.0118489,233.365394778613
17.761,1500,0.02225137,-0.01924176,0.0121511,233.365394778613
17.771,1500,-0.01274863,0.04875824,-0.0498489,233.365394778613
17.781,1500,0.11025137,0.12575824,0.0951511,233.365394778613
17.791,1500,0.04825137,0.05375824,0.0561511,233.365394778613
17.801,1500,-0.01074863,0.01075824,-0.0138489,233.365394778613
17.811,1500,-0.03974863,-0.06624176,0.0641511,233.365394778613
17.821,1500,-0.11574863,-0.09024176,0.0031511,233.365394778613
17.83,1500,0.04925137,0.03975824,0.0421511,233.365394778613
17.84,1500,0.00925137,0.05675824,0.0751511,233.365394778613
17.851,1500,0.04325137,0.03775824,0.1091511,233.365394778613
17.861,1500,-0.06074863,-0.20624176,-0.0968489,233.365394778613
17.871,1500,-0.03874863,-0.37024176,-0.0498489,233.365394778613
17.881,1500,-0.19074863,-0.38124176,-0.0068489,233.365394778613
17.891,1500,-0.15274863,-0.28224176,0.0091511,233.365394778613
17.9,1500,-0.18274863,-0.24424176,-0.0218489,233.365394778613
17.91,1500,-0.09874863,-0.27924176,-0.0568489,233.365394778613
17.921,1500,-0.04474863,-0.26724176,0.0301511,233.365394778613
17.931,1500,-0.13374863,-0.34224176,0.0321511,233.365394778613
17.941,1500,-0.05574863,-0.24224176,0.0151511,233.365394778613
17.951,1500,-0.03374863,-0.20324176,0.0211511,233.365394778613
17.961,1500,-0.01674863,-0.12324176,-0.0118489,233.365394778613
17.971,1500,0.01825137,-0.05924176,-0.0248489,233.365394778613
17.981,1500,-0.02874863,-0.04724176,0.0031511,233.365394778613
17.991,1500,-0.04374863,-0.04424176,0.0211511,233.365394778613
18.001,1500,0.00925137,-0.01224176,0.0091511,233.365394778613
18.01,1500,0.01925137,0.04275824,-0.0068489,233.365394778613
18.021,1500,0.05825137,0.08775824,-0.0178489,233.365394778613
18.031,1500,0.20625137,0.15375824,-0.0178489,233.365394778613
18.041,1500,0.15025137,0.18275824,-0.0148489,233.365394778613
18.051,1500,0.18325137,0.24175824,-0.0068489,233.365394778613
18.061,1500,0.13525137,0.26675824,-0.0088489,233.365394778613
18.071,1500,0.10825137,0.28575824,-0.0288489,233.365394778613
18.081,1500,0.08525137,0.24175824,-0.0748489,235.106309993112
18.091,1500,0.16125137,0.27675824,0.0241511,235.106309993112
18.101,1500,0.05425137,0.16875824,-0.0538489,235.106309993112
18.111,1500,0.31525137,0.27475824,0.0961511,235.106309993112
18.12,1500,0.15025137,0.13575824,-0.0448489,235.106309993112
18.131,1500,-0.09874863,0.03975824,-0.1588489,235.106309993112
18.141,1500,0.01925137,0.08075824,-0.1208489,235.106309993112
18.151,1500,-0.24774863,-0.02324176,-0.0688489,235.106309993112
18.161,1500,-0.21074863,0.06675824,-0.0028489,235.106309993112
18.171,1500,-0.18374863,-0.00524176,0.0161511,235.106309993112
18.181,1500,-0.03874863,-0.04824176,0.0861511,235.106309993112
18.191,1500,0.07825137,0.04475824,-0.0058489,235.106309993112
18.201,1500,0.03525137,0.09475824,0.0131511,235.106309993112
18.211,1500,-0.06074863,0.04775824,-0.0168489,235.106309993112
18.221,1500,-0.11274863,0.06375824,-0.0058489,235.106309993112
18.231,1500,-0.00874863,-0.02124176,-0.0728489,235.106309993112
18.241,1500,0.21025137,-0.09824176,0.0071511,235.106309993112
18.25,1500,0.22425137,-0.01624176,0.0011511,235.106309993112
18.261,1500,-0.16374863,0.00675824,-0.0668489,235.106309993112
18.271,1500,-0.09574863,0.09875824,0.0361511,235.106309993112
18.281,1500,0.03425137,0.06675824,0.1331511,235.106309993112
18.291,1500,-0.05374863,-0.03124176,-0.0198489,235.106309993112
18.301,1500,-0.06174863,-0.13324176,-0.0958489,235.106309993112
18.311,1500,-0.02074863,-0.17124176,0.0321511,235.106309993112
18.321,1500,-0.17374863,-0.15924176,-0.0488489,235.106309993112
18.331,1500,-0.00974863,-0.13824176,0.0271511,235.106309993112
18.34,1500,-0.00874863,-0.18824176,-0.0458489,235.106309993112
18.351,1500,0.08825137,-0.25224176,0.0091511,235.106309993112
18.361,1500,-0.07774863,-0.35024176,0.0301511,235.106309993112
18.371,1500,-0.14174863,-0.40924176,0.0601511,235.106309993112
18.381,1500,-0.05574863,-0.38724176,-0.0008489,235.106309993112
18.391,1500,-0.08674863,-0.28024176,-0.0218489,235.106309993112
18.4,1500,-0.10774863,-0.22224176,-0.0008489,235.106309993112
18.411,1500,-0.08774863,-0.15024176,0.0081511,235.106309993112
18.42,1500,-0.08674863,-0.14324176,0.0181511,235.106309993112
18.431,1500,-0.04874863,-0.11524176,0.0251511,235.106309993112
18.441,1500,-0.01774863,-0.07624176,0.0131511,235.106309993112
18.451,1500,0.00025137,-0.07724176,-0.0078489,235.106309993112
18.461,1500,0.00125137,-0.03624176,-0.0258489,235.106309993112
18.471,1500,-0.00074863,-0.01824176,-0.0048489,235.106309993112
18.481,1500,-0.00474863,-0.01324176,0.0131511,235.106309993112
18.49,1500,0.00425137,0.01375824,0.0231511,235.106309993112
18.501,1500,0.02525137,0.03475824,0.0091511,235.106309993112
18.511,1500,0.02925137,0.03875824,-0.0198489,235.106309993112
18.521,1500,0.00025137,0.04475824,-0.0018489,235.106309993112
18.531,1500,0.01725137,0.02375824,-0.0178489,235.106309993112
18.541,1500,0.00925137,0.05875824,0.0611511,235.106309993112
18.551,1500,0.01025137,0.02275824,-0.0078489,235.106309993112
18.561,1500,0.07825137,0.07475824,0.0391511,235.106309993112
18.571,1500,0.03325137,0.12875824,0.0941511,235.106309993112
18.581,1500,-0.14174863,0.02575824,-0.0158489,235.106309993112
18.591,1500,0.17425137,0.07375824,0.0631511,235.106309993112
18.601,1500,0.03925137,-0.00224176,-0.0518489,235.106309993112
18.61,1500,-0.00174863,0.14175824,0.2391511,150.620181070886
18.621,1500,-0.00774863,0.10975824,0.1881511,150.620181070886
18.631,1500,-0.41874863,0.08375824,0.1891511,150.620181070886
18.641,1500,-0.18274863,0.22075824,0.4141511,150.620181070886
18.651,1500,0.00125137,0.06875824,0.2741511,150.620181070886
18.661,1500,0.05625137,-0.04524176,-0.0668489,150.620181070886
18.67,1500,-0.22674863,-0.01224176,-0.0268489,150.620181070886
18.681,1500,0.10525137,0.00875824,0.0541511,150.620181070886
18.691,1500,0.06325137,-0.02724176,-0.0148489,150.620181070886
18.7,1500,-0.00174863,0.02275824,0.0921511,150.620181070886
18.711,1500,0.21525137,0.09875824,0.0541511,150.620181070886
18.721,1500,-0.44774863,-0.17224176,-0.2218489,150.620181070886
18.731,1500,0.25525137,0.05375824,0.0311511,150.620181070886
18.741,1500,-0.50374863,-0.14924176,-0.0788489,150.620181070886
18.75,1500,0.24125137,0.00075824,-0.0138489,150.620181070886
18.761,1500,0.37725137,0.06475824,0.0301511,150.620181070886
18.771,1500,-0.36874863,-0.15224176,-0.1428489,150.620181070886
18.78,1500,0.24625137,0.01375824,-0.0168489,150.620181070886
18.791,1500,-0.13574863,0.01775824,0.1391511,150.620181070886
18.801,1500,-0.22174863,-0.21624176,-0.2468489,150.620181070886
18.811,1500,0.32425137,0.10275824,0.1151511,150.620181070886
18.821,1500,-0.26774863,0.02375824,0.1621511,150.620181070886
18.83,1500,-0.09374863,-0.12724176,-0.2688489,150.620181070886
18.841,1500,0.20425137,0.09675824,0.1871511,150.620181070886
18.851,1500,0.04625137,-0.09924176,-0.1288489,150.620181070886
18.861,1500,-0.16474863,-0.05524176,-0.0478489,150.620181070886
18.871,1500,0.28225137,0.04875824,0.0081511,150.620181070886
18.881,1500,-0.13574863,-0.04224176,-0.0208489,150.620181070886
18.891,1500,0.09425137,0.01675824,-0.0248489,150.620181070886
18.901,1500,-0.12374863,-0.07324176,-0.0628489,150.620181070886
18.911,1500,0.16325137,0.03575824,0.0471511,150.620181070886
18.921,1500,0.02525137,0.01175824,0.0291511,150.620181070886
18.931,1500,0.13225137,-0.00624176,0.0291511,150.620181070886
18.94,1500,0.12425137,-0.02524176,-0.0778489,150.620181070886
18.951,1500,-0.46074863,-0.06224176,-0.0118489,150.620181070886
18.961,1500,0.07525137,-0.00824176,-0.0228489,150.620181070886
18.97,1500,-0.20074863,0.02475824,0.1541511,150.620181070886
18.981,1500,0.01625137,-0.04024176,-0.0388489,150.620181070886
18.991,1500,-0.37474863,-0.10824176,-0.0808489,150.620181070886
19.001,1500,0.33225137,0.06575824,0.1261511,150.620181070886
19.011,1500,-0.06374863,-0.13824176,-0.2538489,150.620181070886
19.021,1500,0.08525137,0.04675824,0.2431511,150.620181070886
19.031,1500,0.19825137,0.01975824,0.0531511,150.620181070886
19.041,1500,-0.26674863,-0.05324176,-0.0138489,150.620181070886
19.05,1500,0.19025137,0.07875824,0.1161511,150.620181070886
19.061,1500,-0.24274863,-0.11624176,-0.1358489,150.620181070886
19.071,1500,0.09425137,0.05275824,0.1561511,150.620181070886
19.081,1500,0.26325137,0.01975824,0.0011511,150.620181070886
19.091,1500,-0.19474863,0.00875824,0.0161511,150.620181070886
19.101,1500,-0.12974863,-0.15924176,-0.2158489,150.620181070886
19.111,1500,0.13825137,0.07975824,0.1661511,150.620181070886
19.121,1500,0.19925137,0.02775824,-0.0548489,150.620181070886
19.132,1500,-0.29374863,-0.09424176,-0.0618489,111.536482660095
19.141,1500,0.23925137,0.05675824,0.0091511,111.536482660095
19.151,1500,-0.14974863,0.01475824,0.0571511,111.536482660095
19.161,1500,0.31725137,-0.06624176,-0.0158489,111.536482660095
19.171,1500,0.11025137,0.07775824,0.0921511,111.536482660095
19.181,1500,-0.35474863,-0.11024176,0.0121511,111.536482660095
19.191,1500,-0.09074863,-0.06624176,-0.0968489,111.536482660095
19.201,1500,-0.17674863,0.04775824,0.2261511,111.536482660095
19.211,1500,0.23425137,-0.05324176,-0.1468489,111.536482660095
19.221,1500,-0.05474863,0.01875824,-0.0608489,111.536482660095
19.231,1500,0.43325137,0.14675824,0.1841511,111.536482660095
19.242,1500,-0.00374863,-0.05724176,-0.1058489,111.536482660095
19.251,1500,0.04725137,-0.02124176,0.0291511,111.536482660095
19.261,1500,0.01525137,0.06075824,0.0711511,111.536482660095
19.271,1500,-0.57474863,-0.08124176,0.0711511,111.536482660095
19.281,1500,0.26025137,0.00275824,-0.0078489,111.536482660095
19.291,1500,-0.15074863,-0.02724176,0.0501511,111.536482660095
19.301,1500,-0.01774863,-0.09424176,-0.1628489,111.536482660095
19.311,1500,-0.06374863,0.03975824,0.0911511,111.536482660095
19.321,1500,-0.02274863,0.01875824,0.0081511,111.536482660095
19.331,1500,0.01025137,-0.10224176,-0.1808489,111.536482660095
19.341,1500,0.02325137,0.10475824,0.2681511,111.536482660095
19.351,1500,0.20225137,-0.08824176,-0.1418489,111.536482660095
19.361,1500,-0.26574863,-0.08624176,-0.0188489,111.536482660095
19.371,1500,-0.16274863,-0.00924176,0.0851511,111.536482660095
19.381,1500,-0.07174863,-0.11324176,-0.2148489,111.536482660095
19.391,1500,-0.04274863,-0.18024176,-0.3518489,111.536482660095
19.401,1500,-0.13974863,-0.19124176,-0.2458489,111.536482660095
19.411,1500,-0.06274863,-0.19324176,-0.2558489,111.536482660095
19.421,1500,-0.33374863,-0.19124176,0.0181511,111.536482660095
19.431,1500,0.24625137,-0.03524176,0.1221511,111.536482660095
19.441,1500,-0.00874863,-0.02824176,0.1281511,111.536482660095
19.451,1500,0.16025137,-0.02824176,0.1081511,111.536482660095
19.462,1500,-0.03074863,-0.15024176,-0.0748489,111.536482660095
19.472,1500,-0.02774863,-0.09824176,0.0621511,111.536482660095
19.482,1500,-0.02374863,-0.08724176,0.0441511,111.536482660095
19.492,1500,-0.00574863,-0.06324176,-0.0028489,111.536482660095
19.502,1500,0.00025137,-0.05624176,-0.0038489,111.536482660095
19.511,1500,-0.07174863,-0.06924176,-0.0138489,111.536482660095
19.521,1500,-0.03074863,-0.02324176,0.0041511,111.536482660095
