Time,Speed,accX,accY,accZ,velocity_magnitude
2.879,1500,0.02425137,0.00875824,0.0001511,0
2.889,1500,0.02225137,0.00575824,-0.0018489,0
2.9,1500,0.02325137,0.00275824,0.0041511,0
2.909,1500,0.02325137,0.00775824,-0.0028489,0
2.92,1500,0.02325137,0.00375824,0.0021511,0
2.93,1500,0.02125137,0.00475824,0.0011511,0
2.939,1500,0.02525137,0.00575824,-0.0008489,0
2.949,1500,0.02125137,0.00775824,0.0001511,0
2.96,1500,0.01825137,0.00575824,0.0011511,0
2.969,1500,0.02225137,0.00575824,0.0001511,0
2.98,1500,0.02325137,0.00675824,-0.0008489,0
2.99,1500,0.02325137,0.00575824,-0.0008489,0
2.999,1500,0.02225137,0.00375824,0.0011511,0
3.01,1500,0.02225137,0.00675824,0.0021511,0
3.02,1500,0.02325137,0.00475824,-0.0028489,0
3.029,1500,0.02225137,0.00475824,-0.0018489,0
3.04,1500,0.02225137,0.00675824,-0.0018489,0
3.05,1500,0.02325137,0.00575824,0.0011511,0
3.059,1500,0.02325137,0.00475824,-0.0018489,0
3.069,1500,0.02125137,0.00575824,-0.0068489,0
3.08,1500,0.02525137,0.00875824,-0.0008489,0
3.089,1500,0.02225137,0.00275824,0.0031511,0
3.1,1500,0.02425137,0.00575824,-0.0008489,0
3.11,1500,0.02025137,0.00775824,-0.0038489,0
3.119,1500,0.02425137,0.00475824,-0.0018489,0
3.13,1500,0.02125137,0.00175824,0.0001511,0
3.14,1500,0.02125137,0.00775824,-0.0008489,0
3.149,1500,0.02125137,0.00875824,0.0001511,0
3.16,1500,0.02125137,0.00275824,-0.0008489,0
3.17,1500,0.02425137,0.00575824,-0.0018489,0
3.179,1500,0.01925137,0.00575824,-0.0018489,0
3.19,1500,0.02225137,0.00575824,0.0001511,0
3.2,1500,0.01925137,0.00775824,0.0001511,0
3.209,1500,0.02425137,0.00675824,-0.0008489,0
3.22,1500,0.02325137,0.00675824,0.0001511,0
3.23,1500,0.02025137,0.00475824,-0.0018489,0
3.239,1500,0.02525137,0.00475824,-0.0028489,0
3.25,1500,0.02425137,0.00775824,-0.0018489,0
3.26,1500,0.02225137,0.00575824,-0.0008489,0
3.27,1500,0.01925137,0.00675824,0.0011511,0
3.28,1500,0.02425137,0.00475824,-0.0028489,0
3.29,1500,0.02325137,0.00375824,-0.0008489,0
3.3,1500,0.01925137,0.00775824,-0.0008489,0
3.31,1500,0.02125137,0.00675824,0.0011511,0
3.319,1500,0.02225137,0.00575824,0.0001511,0
3.33,1500,0.02325137,0.00475824,-0.0008489,0
3.34,1500,0.02425137,0.00875824,-0.0028489,0
3.349,1500,0.02225137,0.00775824,0.0011511,0
3.36,1500,0.02125137,0.00175824,0.0041511,0
3.37,1500,0.02025137,0.00475824,-0.0028489,0
3.379,1500,0.02225137,0.00875824,-0.0068489,0
3.39,1500,0.02425137,0.00575824,0.0001511,0
3.4,1500,0.02325137,-0.00024176,0.0041511,0
3.409,1500,0.02325137,0.00575824,-0.0008489,0
3.42,1500,0.02425137,0.00575824,-0.0028489,0
3.43,1500,0.02225137,0.00475824,0.0021511,0
3.439,1500,0.02425137,0.00575824,0.0001511,0
3.45,1500,0.02325137,0.00775824,-0.0008489,0
3.46,1500,0.01925137,0.00475824,-0.0018489,0
3.47,1500,0.02525137,0.00575824,-0.0018489,0
3.48,1500,0.02525137,0.00375824,0.0011511,0
3.489,1500,0.02025137,0.00575824,-0.0008489,0
3.5,1500,0.02025137,0.00775824,0.0001511,0
3.509,1500,0.02525137,0.00775824,-0.0008489,0
3.52,1500,0.02425137,0.00175824,0.0021511,0
3.53,1500,0.02125137,0.00675824,0.0011511,0
3.54,1500,0.02325137,0.01075824,-0.0018489,0
3.55,1500,0.02325137,0.00475824,0.0011511,0
