Time,Velocity_X,Velocity_Y,Velocity_Z,Velocity_Magnitude
23.297,5.690456448715103e-06,7.956533687255446e-06,1.2417278296499138e-07,9.782798259761024e-06
23.307,3.898277726104224e-06,4.97768294295901e-06,8.974163481498215e-07,6.385863513448432e-06
23.316,2.802371153494606e-06,8.171308736640309e-07,-7.49237866650028e-08,2.9200343354902272e-06
23.326,5.56540822610587e-06,3.7518516929605867e-06,-2.3878114018503732e-06,7.1240299788802654e-06
23.336,1.0517766476102908e-05,1.625533044295677e-05,-2.7938165184994453e-07,1.936329604078143e-05
23.345,1.0039678853494882e-05,2.0101908098664763e-05,-4.279631866650163e-07,2.2473651531907686e-05
23.356,1.556084967371944e-05,2.591741316226256e-05,-2.4647828170356244e-06,3.0330306657313393e-05
23.366,2.3413511226100343e-05,3.0278839942953976e-05,-1.7503791518496518e-06,3.8315329613628304e-05
23.376,2.8856201976109512e-05,3.5574430942965566e-05,8.974163481501405e-07,4.581512725622161e-05
23.386,2.356061097610031e-05,3.31718016929534e-05,6.522500981498704e-07,4.069270508720575e-05
23.396,1.9392784726108028e-05,2.9592374442964628e-05,-3.90784215185061e-06,3.559578563382996e-05
23.406,1.939278472610114e-05,3.331890144295337e-05,-2.7310441518494563e-06,3.864825862775053e-05
23.416,1.9245684976108006e-05,3.366213419296526e-05,2.3193805981503622e-06,3.8844757625500343e-05
23.426,1.8068886976101406e-05,2.5473581442954932e-05,9.085969098148192e-06,3.2526033612146574e-05
23.437,1.9444283073720425e-05,2.0200136212261115e-05,4.81665480796622e-06,2.8448652178688142e-05
23.447,1.5175925226101979e-05,1.5764997942956865e-05,-3.774481518499249e-07,2.1885756411808286e-05
23.457,-2.5741112738954025e-06,1.1695238192961829e-05,4.182644098150653e-06,1.2684603142877706e-05
23.466,-1.105442529650592e-05,4.082745323664154e-06,4.029159238335153e-06,1.2454045615051883e-05
23.476,-1.066459752389288e-05,4.879616442959029e-06,-4.545274401849096e-06,1.2577909856773618e-05
23.486,-2.042221427389819e-05,1.0420373692961629e-05,-1.0723463901851675e-05,2.5310940357961688e-05
23.496,-2.2236444523890576e-05,6.79191319295865e-06,-5.5749726518488905e-06,2.3909618774744443e-05
23.505,-1.767391404650617e-05,-5.405188551336204e-06,-6.87093223666526e-06,1.9717834840560713e-05
23.516,-3.2388765501282245e-05,-1.1568506462743192e-05,-1.2982414942034094e-05,3.676146855340156e-05
23.526,-3.0277897523899733e-05,2.2145769296003465e-07,-8.222768151851286e-06,3.1375373114222e-05
23.536,-1.497952352389734e-05,4.3402506929606786e-06,-6.212404901850972e-06,1.678743207716062e-05
23.546,-5.9083722738938245e-06,1.3492224429597316e-06,9.954828481498015e-07,6.141681384479656e-06
23.556,-5.221906773895817e-06,6.154480942960962e-06,9.380168598151467e-06,1.2374712479984152e-05
23.566,4.682809726104068e-06,8.213877442958366e-06,8.30143709814835e-06,1.258214399350718e-05
23.576,9.291935226106452e-06,2.7049094296004235e-07,9.625334848151504e-06,1.3381341357854268e-05
23.586,6.300906976103746e-06,-2.1811715570395658e-06,1.2076997348147599e-05,1.3795390644338979e-05
23.596,7.0854389761061086e-06,4.92864969296077e-06,1.1439565098151787e-05,1.4330341339790143e-05
23.606,1.9932150476108118e-05,4.291217442960671e-06,1.222409709815191e-05,2.37725412947382e-05
23.615,2.6809050353484935e-05,-3.0663025263349056e-06,9.545399863331595e-06,2.8622404696139516e-05
23.626,1.8149805273720097e-05,-1.0112218937746561e-05,8.861897932967244e-06,2.258773203075526e-05
23.636,-7.820669023893444e-06,-1.895054305703623e-05,4.57491009814909e-06,2.1005136241977033e-05
23.646,-2.4050674773898756e-05,-3.351341830704524e-05,4.722009848150739e-06,4.151965246372948e-05
23.656,-1.752925252389151e-05,-3.689671255703266e-05,1.8780813481496268e-06,4.089216650060151e-05
23.666,-1.3067226773897045e-05,-2.7531361807044304e-05,-6.065305151850948e-06,3.1072756960010796e-05
23.676,-1.8313784523891355e-05,-2.4393233807035146e-05,-3.074276901849388e-06,3.065739287058587e-05
23.686,-1.3361426273897089e-05,-3.2581786557045094e-05,1.6329150981502554e-06,3.52528997252623e-05
23.696,-1.1939462023896865e-05,-4.0623239557046347e-05,1.4858153481502325e-06,4.23675110524332e-05
23.706,-1.522468977389197e-05,-3.7239945307032596e-05,6.385109814998733e-08,4.0231937340187396e-05
23.716,-1.0223298273896598e-05,-2.7482328557044295e-05,-7.697141518501204e-07,2.933234853178224e-05
23.726,-4.437374773894117e-06,-1.9195709307036183e-05,1.4817848149997023e-08,1.97019230090073e-05
23.736,-1.7148202389502676e-07,-1.1840721807041851e-05,1.387748848150217e-06,1.192300070711303e-05
23.746,1.1033824761047806e-06,-7.623862307038484e-06,2.5645468481494897e-06,8.118967292803362e-06
23.757,-2.4539663762851216e-06,-9.249233737746342e-06,2.7670649579657006e-06,9.96127121370585e-06
23.767,-4.045108773894195e-06,-9.634225557038084e-06,1.0445160981497921e-06,1.0501058087441268e-05
23.776,-1.2134520215055461e-06,-5.934747651336225e-06,-8.251325116650312e-07,6.113471939523676e-06
23.786,1.3485487261052108e-06,-1.3476063070402105e-06,-1.3581131518502124e-06,2.340747265016678e-06
23.796,4.878942726104029e-06,3.947984692959214e-06,-1.2600466518497493e-06,6.401435997124508e-06
23.807,7.901856023714948e-06,8.819518887255384e-06,-1.2242415920349147e-06,1.1904705351156023e-05
23.816,6.553414778494748e-06,1.0569844298664402e-05,-4.720931116650179e-07,1.2445550436323952e-05
23.827,1.0113255598718061e-05,1.6963941712260296e-05,3.3991908296508615e-07,1.9752691011731308e-05
23.836,1.1981395553490223e-05,1.754237244865774e-05,-2.9557341166489437e-07,2.124561211587712e-05
23.846,1.7823720726107788e-05,2.3806450942963718e-05,-1.7994124018502814e-06,2.9793791501149277e-05
23.856,1.9196651726107998e-05,2.6895545692964203e-05,-2.3878114018503736e-06,3.3129797145569986e-05
23.866,1.963795097610109e-05,2.9298174942954176e-05,-2.191678401849564e-06,3.533886851251511e-05
23.876,2.0961848726108275e-05,2.9396241442964598e-05,-1.9465121518503042e-06,3.615697750845081e-05
23.886,1.5568191226101903e-05,2.6061980442954817e-05,-2.436844651849515e-06,3.0455436534692507e-05
23.896,1.2969428976107028e-05,2.3512251442963674e-05,-3.466542901850542e-06,2.707487720330052e-05
23.906,1.1204231976102772e-05,1.880505944295626e-05,-3.221376651849359e-06,2.212560377392044e-05
23.916,9.488068226106484e-06,1.2675903192961983e-05,2.5998409815004063e-07,1.5835704978051535e-05
23.926,8.458369976103318e-06,9.881007942958034e-06,1.2896823481497434e-06,1.3070639662257346e-05
23.936,3.1885047610504967e-07,8.753243192961368e-06,-3.025243651850473e-06,9.266770266619247e-06
23.947,-5.528351151284114e-06,5.583324387255611e-06,-2.6265925420348167e-06,8.284634333940186e-06
23.956,-4.523196396505671e-06,-2.8611725133601067e-07,1.3336063335000419e-08,4.532256234311917e-06
23.966,-5.147147738950806e-07,2.0847211929603256e-06,-1.4071464018502202e-06,2.5673049579439933e-06
23.976,6.938339226103619e-06,7.527411942958502e-06,-1.9465121518496126e-06,1.042071932895137e-05
23.986,7.575771476106184e-06,6.546746942961023e-06,1.5348485981502401e-06,1.0129559181553625e-05
23.996,-3.676150238949268e-07,2.5750536929594874e-06,6.7814063481486515e-06,7.2631614594560945e-06
24.006,1.7175072610502653e-07,3.3595856929605254e-06,1.4038327348152193e-05,1.4435752459575512e-05
24.016,-3.456709773894312e-06,-1.2495398070397516e-06,9.674368098148075e-06,1.0349086447062784e-05
24.026,-9.438766273896474e-06,-4.5347675570407085e-06,5.541835981500868e-07,1.0486255052691265e-05
24.036,-1.0468464523896635e-05,2.084721192960326e-06,3.580505981500561e-07,1.0680028659666413e-05
24.046,-5.5161062738939025e-06,3.997017942959205e-06,-7.63436915184848e-06,1.023167499522562e-05
24.057,-1.3752348762844043e-06,3.965227137255723e-06,-1.2119429742034156e-05,1.2825555523527246e-05
24.066,-5.6705744465057145e-06,1.9645089236640745e-06,-6.87093223666526e-06,9.122741894045082e-06
24.076,-1.2773027273896996e-05,-6.594164057041031e-06,-7.73243565185121e-06,1.6322493267295533e-05
24.086,-9.340699773893142e-06,-9.24195955703816e-06,-4.103975151849184e-06,1.3766085164887363e-05
24.096,3.800211226105594e-06,-1.837938807040287e-06,-9.658471518501508e-07,4.330413968915755e-06
24.106,7.2325387261061306e-06,2.3789206929603718e-06,-1.1619801518501815e-06,7.701887947854975e-06
24.116,-2.623144523894477e-06,-1.936005307039615e-06,-2.0936119018495834e-06,3.874559915356758e-06
24.126,-1.1105896773896735e-05,-1.2821386807042005e-05,2.1722808481503394e-06,1.7101102505145144e-05
24.137,-1.4751505476283472e-05,-2.801916183774204e-05,6.704434932964532e-06,3.236710972077606e-05
24.146,-1.1186815071505924e-05,-3.0117946551337138e-05,5.52957668833521e-06,3.26007937674139e-05
