Time,Speed,accX,accY,accZ,velocity_magnitude
1.678,1500,-0.00474863,0.05075824,-0.0678489,143.309716786883
1.688,1500,0.03825137,0.05075824,-0.0108489,143.309716786883
1.698,1500,0.02525137,0.08375824,0.0521511,143.309716786883
1.708,1500,-0.07874863,0.00575824,-0.0188489,143.309716786883
1.718,1500,-0.03874863,0.00975824,0.0151511,98.2381154635257
1.728,1500,-0.05074863,-0.01124176,-0.0228489,98.2381154635257
1.738,1500,-0.11574863,-0.01824176,-0.0018489,98.2381154635257
1.747,1500,-0.15774863,-0.04424176,0.0341511,98.2381154635257
1.757,1500,0.00525137,0.06375824,0.0951511,98.2381154635257
1.768,1500,-0.05474863,0.00175824,-0.0808489,98.2381154635257
1.778,1500,-0.14774863,-0.06224176,-0.0428489,98.2381154635257
1.788,1500,-0.20974863,-0.00824176,-0.0398489,98.2381154635257
1.798,1500,-0.05674863,0.00975824,-0.1008489,98.2381154635257
1.808,1500,-0.00974863,-0.02824176,-0.1718489,98.2381154635257
1.818,1500,0.01625137,-0.00724176,-0.0698489,98.2381154635257
1.828,1500,-0.04874863,-0.02324176,-0.0388489,98.2381154635257
1.837,1500,-0.00574863,-0.04324176,-0.0488489,98.2381154635257
1.848,1500,0.00325137,0.05675824,0.0511511,98.2381154635257
1.858,1500,0.05625137,0.03075824,-0.1038489,98.2381154635257
1.867,1500,-0.10774863,-0.00724176,-0.0798489,98.2381154635257
1.878,1500,0.01525137,0.00075824,-0.0758489,98.2381154635257
1.888,1500,0.01525137,0.00875824,-0.0708489,98.2381154635257
1.898,1500,0.21525137,0.04875824,-0.0298489,98.2381154635257
1.908,1500,-0.00574863,-0.03124176,-0.0398489,98.2381154635257
1.918,1500,0.07125137,-0.00324176,0.0571511,98.2381154635257
1.928,1500,0.03625137,0.04175824,0.1391511,98.2381154635257
1.938,1500,0.10725137,0.02875824,0.0761511,98.2381154635257
1.947,1500,-0.04274863,-0.00324176,-0.0048489,98.2381154635257
1.958,1500,-0.04474863,-0.00124176,0.0571511,98.2381154635257
1.968,1500,-0.03374863,0.03975824,0.0881511,98.2381154635257
1.977,1500,0.00425137,-0.02924176,0.0481511,98.2381154635257
1.988,1500,0.02825137,0.00775824,0.0171511,98.2381154635257
1.998,1500,-0.04974863,0.01175824,0.0401511,98.2381154635257
2.008,1500,0.08625137,0.02575824,0.1381511,98.2381154635257
2.018,1500,0.20525137,0.04475824,0.0911511,98.2381154635257
2.028,1500,-0.04474863,0.02075824,0.0191511,98.2381154635257
2.038,1500,0.04525137,0.03875824,0.1441511,98.2381154635257
2.048,1500,-0.14674863,-0.02824176,0.0251511,98.2381154635257
2.057,1500,-0.23174863,-0.02824176,-0.0058489,98.2381154635257
2.068,1500,-0.09874863,-0.01324176,-0.0388489,98.2381154635257
2.078,1500,0.10825137,0.05675824,0.0731511,98.2381154635257
2.088,1500,-0.08374863,-0.07424176,-0.1208489,98.2381154635257
2.099,1500,-0.14174863,0.00475824,0.0041511,98.2381154635257
2.108,1500,-0.05274863,-0.03424176,-0.1378489,98.2381154635257
2.118,1500,-0.06574863,0.01475824,-0.1338489,98.2381154635257
2.128,1500,-0.03774863,-0.00924176,-0.0618489,98.2381154635257
2.138,1500,-0.04274863,-0.02724176,-0.0508489,98.2381154635257
2.148,1500,0.01925137,-0.00224176,-0.0878489,98.2381154635257
2.158,1500,-0.00374863,0.01775824,-0.0858489,98.2381154635257
2.167,1500,0.06325137,0.01275824,-0.0768489,98.2381154635257
2.178,1500,-0.09374863,-0.03124176,-0.0408489,98.2381154635257
2.188,1500,-0.00774863,-0.01124176,-0.0028489,98.2381154635257
2.198,1500,0.02125137,0.03875824,0.0741511,98.2381154635257
2.208,1500,0.11925137,0.00875824,0.1181511,98.2381154635257
2.218,1500,-0.03174863,-0.01324176,0.0831511,98.2381154635257
2.228,1500,0.00425137,-0.03624176,0.0461511,98.2381154635257
2.238,1500,-0.12674863,-0.12624176,-0.0978489,151.604113565769
2.248,1500,-0.06874863,-0.05824176,-0.0048489,151.604113565769
2.258,1500,-0.04274863,-0.11324176,-0.0008489,151.604113565769
2.268,1500,-0.14174863,-0.16824176,-0.0078489,151.604113565769
2.278,1500,-0.02874863,-0.16824176,-0.0038489,151.604113565769
2.289,1500,-0.08174863,-0.15324176,-0.0018489,151.604113565769
2.299,1500,-0.11474863,-0.11724176,-0.0288489,151.604113565769
2.309,1500,-0.03974863,-0.10824176,-0.0088489,151.604113565769
2.319,1500,-0.03174863,-0.10324176,0.0041511,151.604113565769
2.329,1500,-0.01374863,-0.08624176,0.0051511,151.604113565769
2.339,1500,-0.01874863,-0.05324176,0.0041511,151.604113565769
2.349,1500,-0.00974863,-0.02924176,-0.0028489,151.604113565769
2.359,1500,-0.01174863,-0.02724176,-0.0038489,151.604113565769
2.369,1500,-0.00674863,-0.01624176,-0.0018489,151.604113565769
2.379,1500,-0.01074863,-0.00424176,-0.0008489,151.604113565769
2.388,1500,-0.01074863,-0.01124176,0.0011511,151.604113565769
2.398,1500,-0.00174863,-0.00624176,-0.0048489,151.604113565769
2.408,1500,-0.00274863,0.00175824,0.0001511,151.604113565769
2.418,1500,-0.00274863,0.00975824,-0.0008489,151.604113565769
2.428,1500,0.01325137,0.01375824,-0.0008489,151.604113565769
2.438,1500,0.02525137,0.03175824,-0.0068489,151.604113565769
2.448,1500,0.02925137,0.05575824,-0.0098489,151.604113565769
2.458,1500,0.04125137,0.07175824,-0.0008489,151.604113565769
2.468,1500,0.04625137,0.08075824,-0.0078489,151.604113565769
2.478,1500,0.04925137,0.10075824,-0.0108489,151.604113565769
2.489,1500,0.06025137,0.12175824,-0.0088489,151.604113565769
2.498,1500,0.09725137,0.12675824,-0.0058489,151.604113565769
2.508,1500,0.07825137,0.12175824,-0.0048489,151.604113565769
2.518,1500,0.08525137,0.12075824,-0.0158489,151.604113565769
2.528,1500,0.06325137,0.08975824,-0.0168489,151.604113565769
2.539,1500,0.02625137,0.07375824,-0.0058489,151.604113565769
2.548,1500,0.05125137,0.07675824,0.0101511,151.604113565769
2.558,1500,0.06125137,0.07075824,0.0311511,151.604113565769
2.568,1500,0.00925137,0.05075824,0.0041511,151.604113565769
2.578,1500,0.00625137,0.04875824,0.0081511,151.604113565769
2.589,1500,-0.05574863,0.02275824,-0.0108489,151.604113565769
2.598,1500,-0.01374863,-0.00124176,-0.0328489,151.604113565769
2.608,1500,-0.02574863,-0.01124176,-0.0088489,151.604113565769
2.618,1500,0.01725137,0.03575824,0.0291511,151.604113565769
2.628,1500,-0.03274863,0.00775824,0.0231511,151.604113565769
2.638,1500,0.01825137,0.01875824,0.0371511,151.604113565769
2.648,1500,0.02525137,0.01875824,-0.0258489,151.604113565769
2.658,1500,-0.07274863,-0.02624176,-0.0248489,151.604113565769
2.668,1500,0.03225137,0.01375824,-0.0048489,151.604113565769
2.678,1500,0.01025137,0.00075824,-0.0328489,151.604113565769
2.688,1500,-0.01274863,0.00675824,0.0141511,151.604113565769
2.698,1500,-0.02174863,0.01175824,-0.0158489,151.604113565769
2.708,1500,-0.03774863,-0.02124176,0.0411511,151.604113565769
2.718,1500,0.02725137,0.00175824,0.0191511,151.604113565769
2.729,1500,-0.01974863,0.01375824,-0.0178489,151.604113565769
